ID_REF,VALUE,Ratio,Flagged?,INV_VALUE
YDR035W,-0.10568,1.27549,FALSE,0.10568
YBR249C,-0.029,1.06906,FALSE,0.029
YPR060C,0.02483,0.94443,FALSE,-0.02483
YGL202W,-0.09209,1.23619,FALSE,0.09209
YDR421W,-0.07375,1.18509,FALSE,0.07375
YHR137W,-0.16332,1.45654,FALSE,0.16332
YHR129C,0.05722,0.87655,FALSE,-0.05722
YDR106W,-0.18173,1.51959,FALSE,0.18173
YDL029W,-0.14542,1.39773,FALSE,0.14542
YJR065C,-0.1878,1.54099,FALSE,0.1878
YJL081C,0.00422,0.99032,FALSE,-0.00422
YNL059C,0.09358,0.80617,FALSE,-0.09358
YLR085C,0.11862,0.761,FALSE,-0.11862
YPR034W,0.03643,0.91953,FALSE,-0.03643
YOR141C,0.00816,0.98138,FALSE,-0.00816
YMR033W,0.15372,0.70191,FALSE,-0.15372
YPR199C,0.04853,0.89428,FALSE,-0.04853
YPR200C,0.06737,0.85631,TRUE,-0.06737
YPR201W,-0.016,1.03752,FALSE,0.016
YLR242C,-0.0391,1.09421,FALSE,0.0391
YMR116C,0.1016,0.79141,FALSE,-0.1016
YOR058C,0.08358,0.82493,FALSE,-0.08358
YJL115W,0.23444,0.58286,FALSE,-0.23444
YDL197C,0.22217,0.59955,FALSE,-0.22217
YJL170C,-1.36895,23.38553,FALSE,1.36895
YKL185W,0.11264,0.77155,FALSE,-0.11264
YMR119W,-0.13697,1.37078,FALSE,0.13697
YNL159C,-0.21314,1.63357,FALSE,0.21314
YNL008C,-0.08713,1.22216,FALSE,0.08713
YKL052C,0.06309,0.8648,FALSE,-0.06309
YGR097W,-0.1535,1.42397,FALSE,0.1535
YDL088C,0.07045,0.85027,FALSE,-0.07045
YPR145W,-0.1082,1.28291,FALSE,0.1082
YGR124W,-0.07726,1.1947,FALSE,0.07726
YDR321W,0.17364,0.67044,FALSE,-0.17364
YLR155C,-0.04321,1.10462,FALSE,0.04321
YLR157C,0.00936,0.97868,FALSE,-0.00936
YLR158C,-0.04553,1.11052,FALSE,0.04553
YLR160C,-0.44176,2.76538,FALSE,0.44176
YBL069W,0.08299,0.82606,FALSE,-0.08299
YER101C,-0.0606,1.14974,FALSE,0.0606
YDR184C,0.03615,0.92013,FALSE,-0.03615
YGL017W,-0.05707,1.14042,FALSE,0.05707
YOR377W,0.15934,0.69288,FALSE,-0.15934
YGR177C,0.24986,0.56253,FALSE,-0.24986
YPR026W,-0.1467,1.40184,FALSE,0.1467
YMR301C,0.14995,0.70803,FALSE,-0.14995
YBL099W,0.0958,0.80205,FALSE,-0.0958
YLR393W,0.92384,0.11917,TRUE,-0.92384
YNL315C,-0.01518,1.03556,FALSE,0.01518
YJL180C,0.06341,0.86414,FALSE,-0.06341
YLR295C,-0.08765,1.22363,FALSE,0.08765
YPL271W,-0.15439,1.42688,FALSE,0.15439
YDL004W,0.01941,0.95629,FALSE,-0.01941
YDR377W,-0.04613,1.11206,FALSE,0.04613
YML081C-A,0.07593,0.8396,FALSE,-0.07593
YJR121W,0.00849,0.98065,FALSE,-0.00849
YPR020W,-0.06034,1.14905,FALSE,0.06034
YBR039W,0.0405,0.91095,FALSE,-0.0405
YPL078C,-0.01562,1.03663,FALSE,0.01562
YDR298C,-0.00988,1.02301,FALSE,0.00988
YKL016C,-0.13971,1.37945,FALSE,0.13971
YML116W,0.00947,0.97843,FALSE,-0.00947
YAL020C,0.12531,0.74936,FALSE,-0.12531
YNL259C,-0.09386,1.24125,FALSE,0.09386
YOR079C,0.05853,0.87392,FALSE,-0.05853
YFL011W-A,-0.15274,1.42149,FALSE,0.15274
YKL004W,0.14941,0.7089,FALSE,-0.14941
YOR011W,-0.09311,1.23912,FALSE,0.09311
YNR007C,-0.00316,1.0073,FALSE,0.00316
YFR021W,-0.02173,1.0513,FALSE,0.02173
YNL223W,-0.06099,1.15078,FALSE,0.06099
YCL038C,0.04466,0.90228,FALSE,-0.04466
YBL078C,-0.168,1.4723,FALSE,0.168
YPR122W,-0.21674,1.64717,FALSE,0.21674
YIL140W,0.35264,0.44397,FALSE,-0.35264
YIL124W,-0.24849,1.77211,FALSE,0.24849
YLL063C,-0.10897,1.28519,FALSE,0.10897
YOR113W,-0.03475,1.08331,FALSE,0.03475
YGR224W,0.01487,0.96635,FALSE,-0.01487
YOR134W,-0.18993,1.54858,FALSE,0.18993
YBR068C,0.07476,0.84186,FALSE,-0.07476
YDR046C,0.13236,0.73729,FALSE,-0.13236
YIL015W,-0.88682,7.70589,FALSE,0.88682
YKR099W,0.20385,0.62539,FALSE,-0.20385
YHR208W,0.0181,0.95918,FALSE,-0.0181
YJR148W,0.10917,0.77773,FALSE,-0.10917
YJL020C,0.10284,0.78915,FALSE,-0.10284
YPL255W,0.29305,0.50927,FALSE,-0.29305
YJL095W,0.14601,0.71448,FALSE,-0.14601
YER167W,-0.02127,1.05018,FALSE,0.02127
YDR361C,0.14976,0.70834,FALSE,-0.14976
YDR375C,0.02845,0.9366,FALSE,-0.02845
YIL033C,-0.09113,1.23348,FALSE,0.09113
YLR399C,0.2143,0.61052,FALSE,-0.2143
YDL070W,0.2977,0.50385,FALSE,-0.2977
YAL060W,0.12929,0.74252,FALSE,-0.12929
YNL039W,0.03385,0.92502,FALSE,-0.03385
YBR200W,-0.11308,1.29743,FALSE,0.11308
YER155C,-0.1726,1.488,FALSE,0.1726
YPL115C,0.01835,0.95862,FALSE,-0.01835
YPL161C,0.07624,0.839,FALSE,-0.07624
YIL004C,-0.03006,1.07167,FALSE,0.03006
YPR176C,0.10692,0.78177,FALSE,-0.10692
YKR068C,0.03687,0.91862,FALSE,-0.03687
YJL031C,-0.18587,1.53417,FALSE,0.18587
YML077W,0.14991,0.7081,FALSE,-0.14991
YJR053W,0.05887,0.87323,FALSE,-0.05887
YOR198C,0.02857,0.93634,FALSE,-0.02857
YDR299W,0.08492,0.82238,FALSE,-0.08492
YGR282C,-0.13033,1.34999,FALSE,0.13033
YHR101C,0.02857,0.93634,FALSE,-0.02857
YCL029C,0.03421,0.92425,FALSE,-0.03421
YER016W,0.02606,0.94177,FALSE,-0.02606
YGR286C,0.18571,0.65206,FALSE,-0.18571
YNR058W,-0.04445,1.10778,FALSE,0.04445
YNR057C,-0.0116,1.02707,FALSE,0.0116
YNR056C,-0.16183,1.45153,FALSE,0.16183
YJR089W,-0.04778,1.11629,FALSE,0.04778
blank,0.02881,0.93581,FALSE,-0.02881
YFL007W,-0.08347,1.21192,FALSE,0.08347
YER177W,0.03662,0.91914,FALSE,-0.03662
YDR099W,-0.13577,1.36701,FALSE,0.13577
YPL217C,0.12256,0.75412,FALSE,-0.12256
YJR025C,-0.2449,1.75754,FALSE,0.2449
YNL271C,0.12196,0.75516,FALSE,-0.12196
YNL233W,0.14227,0.72066,FALSE,-0.14227
YNL166C,0.11475,0.7678,FALSE,-0.11475
YIL159W,0.09531,0.80296,FALSE,-0.09531
YGR230W,-0.03038,1.07245,FALSE,0.03038
YBL085W,0.19756,0.63451,FALSE,-0.19756
YER114C,0.13663,0.73008,FALSE,-0.13663
